SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
左營,高雄市,29,,良好,1.9,0.11,0.1,50.4,31,19,11,1.9,2.2,0.2,3.3,287,2021/08/22 14:00:00,8,17,1,120.292917,22.674861,54
前金,高雄市,28,,良好,1.3,0.15,0.2,51.9,30,9,8,2.9,4.1,1.2,3.2,258,2021/08/22 14:00:00,6,5,1,120.288086,22.632567,56
前鎮,高雄市,28,,良好,2.2,0.19,0.2,59,30,20,11,6.5,7.8,1.3,1.6,278,2021/08/22 14:00:00,5,15,1,120.307564,22.605386,57
小港,高雄市,32,,良好,2.1,0.18,0.1,79.7,35,23,13,7.7,9,1.2,3.4,259,2021/08/22 14:00:00,10,17,1,120.337736,22.565833,58
屏東,屏東縣,31,,良好,2.9,0.16,0.1,58.9,33,24,16,4.5,5.4,0.8,3.8,275,2021/08/22 14:00:00,7,18,1,120.488033,22.673081,59
潮州,屏東縣,31,,良好,3.7,0.28,0.1,60.8,33,16,12,7,7.7,0.7,3.7,261,2021/08/22 14:00:00,7,12,1,120.561175,22.523108,60
恆春,屏東縣,23,,良好,1.9,0.13,0.2,30.5,25,12,4,1.3,3,1.6,2,280,2021/08/22 14:00:00,6,11,1,120.788928,21.958069,61
臺東,臺東縣,17,,良好,1.9,0.1,0.1,26.7,18,16,5,2.6,4.5,1.9,1.6,133,2021/08/22 14:00:00,4,12,1,121.15045,22.755358,62
花蓮,花蓮縣,16,,良好,1.5,0.16,0.1,30.9,16,10,5,3.9,5,1.1,1.6,142,2021/08/22 14:00:00,4,16,0,121.599769,23.971306,63
陽明,臺北市,44,,良好,0.8,0.14,0.1,42.2,29,19,13,2.8,3.7,0.9,,,2021/08/22 14:00:00,13,19,0,121.529583,25.182722,64
宜蘭,宜蘭縣,39,,良好,4.8,0.18,0.1,53.5,36,21,13,2.8,3.4,0.6,2.8,123,2021/08/22 14:00:00,12,20,1,121.746394,24.747917,65
冬山,宜蘭縣,30,,良好,2.7,0.21,0.2,50.1,32,25,12,3.9,4.9,0.9,3.3,68,2021/08/22 14:00:00,9,20,1,121.792928,24.632203,66
三重,新北市,62,細懸浮微粒,普通,1.6,0.42,0.7,-,-,23,16,15.7,31.4,15.7,-,-,2021/08/22 14:00:00,20,31,1,121.493806,25.072611,67
中壢,桃園市,54,細懸浮微粒,普通,2.1,0.23,0.6,38.1,21,22,17,14.3,21.4,7,1.8,24,2021/08/22 14:00:00,16,25,1,121.221667,24.953278,68
竹山,南投縣,35,,良好,1.7,0.05,0,42.7,29,16,11,2.9,4.2,1.3,2.1,272,2021/08/22 14:00:00,10,16,1,120.677306,23.756389,69
永和,新北市,60,細懸浮微粒,普通,1.8,0.6,0.6,39.8,31,29,15,14.7,19.7,5,2.8,36,2021/08/22 14:00:00,19,32,1,121.516306,25.017,70
復興,高雄市,26,,良好,1.9,0.2,0.3,53.5,28,14,9,5.2,6.7,1.5,0.9,219,2021/08/22 14:00:00,8,12,1,120.312017,22.608711,71
埔里,南投縣,20,,良好,1.5,0.11,0.1,33.8,21,8,7,1.7,2.9,1.2,4,286,2021/08/22 14:00:00,6,11,1,120.967903,23.968842,72
